nmi,batteryCapacityKWh,batteryMaxPowerKW
7001059521,12.8,5
70010197292,5.1,3
70010170112,5.1,3
70010591868,5.1,3
70013007465,5.1,3
70010596049,5.1,3
70010099853,5.1,3
70010071424,5.1,3
70010169788,13.5,5
7001063989,13.5,5
7001090926,13.5,5
70011086446,12.6,5
7001352670,0,2.8672
70013501063,10,2.8672
70013499585,0,2.8672
7001351229,10.1,5
70010459989,10.3,5
70011170720,10.1,5
70011916997,10.1,5
7001182136,5.04,2.8672
70013210853,5.04,2.8672
70013515617,10,5
70011062727,2.9,2.8672
70011430040,5.04,2.8672
70010661876,5.04,2.8672
70010583623,10.1,5
70010758555,5.04,2.8672
7001034832,10,5
70010205303,13.3,5
70010807031,5.04,2.8672
70011839320,10.08,5
70011589605,5.04,2.8672
70011561745,10.1,5
70010691774,5.04,2.8672
70010289345,5.04,2.8672
70010990201,10.1,5
70011866886,5.04,2.8672
70011743103,10.1,5
70013154003,5.04,2.8672
70010915727,10.1,5
70010737640,5.04,2.8672
70010775139,10.1,5
70011728671,9.6,5
70010592658,5.04,2.8672
70010025643,9.6,5
70010483633,10.1,5
70011902376,9.6,5
70010646159,12.8,5
70010917995,9.6,5
70011678927,13.5,5
7001336829,13.5,5
70013173812,10,5
70010883460,5,2.5
70011999010,10,5
70010391846,16,5
70010780254,10.656,4.6
70011747390,10,5
70010953585,10,5
70010421544,5,2.5
70010167866,9.6,5
70011019463,9.6,5
ENNE0233889,9.6,5
70013514641,10,2.8672
7001351464,9.6,2.8672
7001352167,0,2.8672
7001351416,0,2.8672
7001351395,0,2.8672
70010589761,7.2,2.8672
70010046490,14,5
70011778239,14,5
70010463859,14,5
70011620559,14,5
70010702217,14,5
70010467967,14,5
70011605601,14,5
70011821684,14,5
70011951104,14,5
70013165684,14,5
70010227254,14,5
70010418846,14,5
70011056647,14,5
70010985464,14,5
70010108192,14,5
70010773744,14,5
70013294572,14,5
7001346665,14,5
70010608678,14,5
70011437654,14,5
70011047579,14,5
70010805127,14,5
70010921108,14,5
70010987312,14,5
70010087238,14,5
70010976050,14,5
70013177837,14,5
70013293426,14,5
70010551739,14,5
70010432531,14,5
70010893809,14,5
70011916916,14,5
70010628116,14,5
70011877973,14,5
70010020272,14,5
70010368513,14,5
70011887098,14,5
70010569862,14,5
70010690784,14,5
70010038447,14,5
70011876687,14,5
70011573161,12.8,5
70013290664,12.8,5
70013317887,9.8,2.8672
70010554624,10,5
70011013061,9.8,2.8672
70011584323,9.8,2.8672
70010831288,9.8,2.8672
70010135236,9.8,2.8672
70010854478,10,5
7001332927,10.1,5
7001061530,10.1,5
70010011613,5.04,2.8672
70013211488,5.04,2.8672
70011806019,10,5
70010959889,5.04,2.8672
70011013622,5.04,2.8672
70010849109,10,5
70011007204,5,2.8672
70011892503,10.1,5
70010945798,10.1,5
70010367372,2.9,2.8672
70013200648,5.04,2.8672
70010394533,5.04,2.8672
70010143783,5.04,2.8672
70011803632,5.04,2.8672
70011740447,5.04,2.8672
70013508932,14,2.8672
70011926113,9.8,2.8672
70011035022,9.8,2.8672
70010100836,9.8,2.8672
70013160950,5.04,2.8672
70010182865,9.8,2.8672
70010380147,9.8,2.8672
70010769123,5.04,2.8672
70010857638,9.8,2.8672
70010736940,10.1,5
70011572718,5.1,3
7001027140,9.8,2.8672
70011755477,9.8,2.8672
70010985200,9.6,2.8672
70011816593,14,5
70010304285,10,5
7001300206,14,5
7001349884,14,5
7001340255,14,5
70013515631,14,5
70010781574,14,5
70010766468,14,5
7001352459,14,5
70011827953,14,5
70010632438,14,5
70010797792,14,5
70011694768,14,5
7001147240,14,5
70013516233,9.6,5
70010851550,14,5
70010305565,14,5
70010289980,14,5
7001184578,14,5
7001352213,14,5
7001332917,14,5
70011997145,14,5
7001074233,5,2.5
70010888170,10,5
70010590408,10,5
70011620749,15,5
70010452076,10,5
70011036203,15,5
70012511138,15,5
70013502266,5,2.8672
70010881458,10,5
70011914133,10,5
70011874772,10,5
70011080929,10,5
70011824083,10,5
70010929207,5,2.5
70013363568,10,5
70011793767,10,5
70011086041,10,5
7001088764,5,2.5
70010460758,10,5
70010981927,10,5
70010260793,10,5
70010901562,10,5
70010434132,10,5
70011007070,10,5
70010913374,10,5
70011097039,10,5
70013513783,0,2.5
70011778362,10,5
70010079500,10,5
70010266261,10,5
70010512680,10,5
70010490144,10,5
70011567758,10,5
70011659695,10,5
70011582483,10,5
70010207463,5,2.5
70011007007,10,2.8672
70010645135,10,2.8672
70011563749,14,5
7001343561,14,5
70012018190,14,5
7001343550,14,5
70010481143,10,5
70010517374,10,5
70010674745,10,5
70011101611,10,5
70013520211,10,5
70011916097,10,5
70013444896,0,2.5
70010834777,10,5
70013516085,0,2.8672
7001349895,0,2.8672
70010227972,9.6,2.8672
70010773249,9.6,5
70011009281,9.6,5
70011084953,12.8,5
70010713650,9.6,5
70010800433,9.6,5
7001140073,14,5
70010918530,9.6,5
70011845700,13.3,5
70013170355,13.3,5
7001352864,13.3,5
70013524962,10.1,5
70013194592,13.3,5
7001341930,13.3,5
70010574608,9.6,5
7001351244,10.1,5
7001075010,13.3,5
70013512190,10.1,5
70010906149,10,5
70013214472,10.1,5
7001353352,13.3,5
70013419116,13.3,5
7001201924,13.3,5
70010308385,13.3,5
70013435895,10.1,5
70013274392,13.3,5
70010292273,10,5
70013280194,5.04,2.8672
70013418982,10.1,5
70010929123,9.8,2.8672
7001027452,16,2.8672
70010275023,16,5
70011971852,12.8,5
70011737863,9.6,5
70013167291,14,5
70011561588,14,5
70011613462,9.6,5
70010264125,25.6,5
70011957874,14,5
70010141441,10,5
70010579449,10,5
7001351379,0,5
70013306881,5.04,2.8672
7001076799,5.1,3
70010349561,5.1,3
700106885634,9.8,2.8672
70010599389,9.8,2.8672
70011472165,5.1,3
7001194139,9.6,4.6
70011583367,10,5
70010819044,9.6,5
7001353972,0,2.8672
70013339583,13.5,5
70010460948,13.5,5
70010758497,13.5,5
70010624542,13.5,5
7001026293,13.5,5
70011069839,13.5,5
70010462119,13.5,5
70011946607,13.5,5
7001064358,13.5,5
70011732335,13.5,5
70010288802,13.5,5
70011645168,13.5,5
70013279194,13.5,5
70013528525,0,2.8672
70010662781,25.6,5
7001352642,0,2.5
70010498789,10,5
70010675925,10,5
70010790451,10,5
70011360009,5,2.5
70011692936,10,5
70011005661,10,5
70013523115,10,5
70010020101,10,5
7001058270,10,5
70010580894,10,5
70010675974,10,5
70010307269,15,5
70013512389,0,5
70010860543,5,2.5
70011806132,5,2.5
70011866663,5,2.8672
70011712320,9.8,2.8672
70011483988,9.8,5
70013335816,10.08,5
70010136029,5.04,2.8672
70011442168,5.04,2.8672
70010868783,7.1,4.6
70010605108,14.2,4.6
7001103263,9.8,2.8672
70010688620,9.8,2.8672
7001086440,9.8,2.8672
70010274001,9.8,2.8672
7001354616,9.8,2.8672
70011653459,9.8,2.8672
70010430001,9.8,2.8672
7001085788,9.8,2.8672
7001078795,12.8,5
7001330265,14,5
7001052211,14,5
7001053335,14,5
70011003211,14.2,5
70010839454,14,5
7001353870,0,2.8672
7001108947,10,5
70011082353,9.8,2.8672
70010405786,9.8,2.8672
70010956318,10,5
70011085102,9.8,2.8672
70010891201,9.8,2.8672
70010701764,10,5
70010756064,9.8,2.8672
70013513445,0,2.8672
70010633832,9.8,2.8672
70011858165,10,5
70011022937,5,2.5
70010685157,9.8,2.8672
7001354372,10,5
70011594217,5.04,2.8672
70013147541,5.04,2.8672
70010980029,10.1,5
70010043397,10.1,5
70011092732,20.2,5
70013532098,0,2.8672
70011017441,10.1,5
7001044213,10.1,5
70011409175,15,5
70010779452,15,5
70013532782,19.2,5
70013523732,0,2.8672
70010793528,9.6,5
70010238467,9.6,5
70011827763,9.6,5
70012001742,9.6,5
70010057141,9.6,5
70010730720,10,2.8672
70013321956,15,2.8672
70011044386,10,2.8672
70010931089,10,2.8672
70010338274,10,2.8672
70010408227,10,2.8672
70013338123,15,2.8672
70010110712,10,2.8672
70010383099,10,2.8672
70010950619,10,2.8672
70010018466,10,2.8672
70011038166,10,2.8672
70011819778,10,2.8672
70010846947,10,2.8672
70010775304,5,2.8672
70013138946,10,2.8672
70013407516,10,2.8672
70013327183,5,2.8672
70010558633,10,2.8672
70010045674,10,2.8672
70011586214,10,2.8672
70010804292,10,2.8672
70010699867,10,2.8672
70010628949,15,2.8672
70011052678,10,2.8672
