nmi,batteryCapacityKWh,batteryMaxPowerKW
7001190148,14,5
70010330695,14,5
70010771971,28,5
70011426624,13.8,5
70010906354,14,5
70011051137,14,5
70010020257,14,5
70010477958,14,5
70010661265,14,5
7001345111,9.8,5
70013420393,0,2.8672
70010532976,14,5
70010830777,9.8,5
70010411447,14,5
70011979936,14,5
70011854881,14,5
70011144442,2.9,2.8672
70010244012,14,5
7001330077,14,5
70011727311,14,5
7001336752,14,5
7001345500,0,2.8672
70013387501,0,2.8672
70010913622,13.8,5
70010668242,41.4,5
70010385482,14,5
7001043360,9.8,5
7001346830,9.8,5
70013449291,10,2.8672
70010695866,14.2,5
70011503556,9.3,5
70013441706,13.8,5
7011076975,13.8,5
70010844216,9.8,5
70010137629,13.8,5
70010261552,14,5
7001346725,0,2.8672
7001349551,0,2.8672
70013454664,0,2.8672
70013457773,0,2.8672
70010700659,10.5,2.8672
70011451581,14,2.8672
70010505370,7,2.8672
70010868379,10.7,2.8672
70010842598,7,2.8672
70010752995,9.5,2.8672
70011511998,9.5,2.8672
70010519216,7.2,2.8672
70013424817,10.3,5
70012001320,14,5
70010030959,14,2.8672
70011995454,14,2.8672
70010260902,9.8,5
70010978369,14,2.8672
70011925964,14,5
70010390293,14,5
70011066416,14,5
70010659409,10.3,5
70010904093,10.3,5
70013333446,14,5
70011466943,14,5
70010780220,14,5
70011564458,14,5
70013245880,14,5
70010511198,20,5
70010161663,14,5
70010488871,14,5
70011926524,14,5
70010929437,28,5
70010381914,10.3,5
70010013006,10.3,5
70010504745,13.5,5
7001345949,0,2.8672
70011410893,10.3,5
70010233343,13.8,5
70013339411,9.8,5
70010818540,10.3,5
70010885291,14,5
70011402930,13.5,5
70010852861,10.3,5
70010769296,13.5,5
7001337426,10.3,5
70010996478,10.3,5
70010046441,14,5
70010374404,10.3,5
70010762341,10.3,5
70010757846,10.3,5
70010987304,13.3,5
70010564021,10.3,5
70011518002,10.3,5
70013495774,0,2.8672
70010399623,10.3,5
70010018128,7.1,4.6
70010497163,13.5,5
70010263639,9.8,5
70010599942,10.3,5
7001065683,10.3,5
70011017532,20,5
70010762715,10.3,5
70013219258,10.3,5
70011965259,10.3,5
70011515949,13.5,5
70013296025,13.5,5
70010500323,13.5,5
70010538486,13.5,5
70011822391,14,5
70011774650,10.3,5
70010569045,10.1,5
70010116411,13.5,5
70013228357,10.1,5
70010280833,14,5
7001053444,14,5
70010385284,10.3,5
7001334276,14,5
70013180528,14.2,5
70010045908,7,4.6
70013403687,14,4.6
70011407047,7,4.6
70011798451,14,4.6
70011427219,13.5,5
70013437742,10.3,5
70011524683,10.1,5
70010846889,13.5,5
70011426731,10.3,5
70011831691,10.3,5
70010544741,13.3,5
70011169409,10.3,5
70010172428,13.5,5
70011003342,10.3,5
7001017205,13.5,5
70010704188,14,5
70010510470,10.1,5
70011732426,13.5,5
70010490193,13.5,5
70010538058,13.5,5
70013126217,13.5,5
70010981951,10.1,5
70010929461,10.3,5
70010895127,10.1,5
70013402720,10.1,5
70010760025,13.5,5
70010266641,14,5
7001320801,13.5,5
70010280651,13.5,5
7001349738,14,2.8672
7001332290,10,5
7001349926,0,2.8672
7001350053,0,2.8672
70013426944,0,2.8672
70013457781,0,2.8672
70010259991,10,5
70010606114,13.5,5
70010945491,13.5,5
70010412956,10.3,5
70013436331,10.1,2.8672
70011097640,10.1,5
70011057834,10.1,5
7001099821,10.1,5
70011101461,10.1,5
70010504737,10.1,5
