switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
149981709,149981709,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NW22|NW33,NW22|NW33,NW22|NW33,,2,NW22|NW33,0,,,,NW22|NW33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
150208897,150208897,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BR15|BR6,BR15|BR6,BR15|BR6,,2,BR15|BR6,0,,,,BR15|BR6,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
150637820,150637820,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DN6|DN7,DN6|DN7,DN6|DN7,,2,DN6|DN7,0,,,,DN6|DN7,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
151042654,151042654,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NW11|NW31,NW11|NW31,NW11|NW31,,2,NW11|NW31,0,,,,NW11|NW31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
153350102,153350102,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CRM14|CRM34,CRM14|CRM34,CRM14|CRM34,,2,CRM14|CRM34,0,,,,CRM14|CRM34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
153541694,153541694,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MR15|MR24,MR15|MR24,MR15|MR24,,2,MR15|MR24,0,,,,MR15|MR24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
153994550,153994550,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,GW1|GW4,GW1|GW4,GW1|GW4,,2,GW1|GW4,0,,,,GW1|GW4,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
156176019,156176019,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SV21|SVW52,SV21|SVW52,SV21|SVW52,,2,SV21|SVW52,0,,,,SV21|SVW52,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
161191007,161191007,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS21|HGS32,HGS21|HGS32,HGS21|HGS32,,2,HGS21|HGS32,0,,,,HGS21|HGS32,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
161191065,161191065,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MGE31|SVW53,MGE31|SVW53,MGE31|SVW53,,2,MGE31|SVW53,0,,,,MGE31|SVW53,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
161191104,161191104,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM5|EM8,EM5|EM8,EM5|EM8,,2,EM5|EM8,0,,,,EM5|EM8,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
164184252,164184252,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,GW5|MGE14,GW5|MGE14,GW5|MGE14,,2,GW5|MGE14,0,,,,GW5|MGE14,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
164405662,164405662,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM5|RD4,EM5|RD4,EM5|RD4,,2,EM5|RD4,0,,,,EM5|RD4,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
164405702,164405702,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT15|CFD13,BT15|CFD13,BT15|CFD13,,2,BT15|CFD13,0,,,,BT15|CFD13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
167092284,167092284,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RBD11|RBD21,RBD11|RBD21,RBD11|RBD21,,2,RBD11|RBD21,0,,,,RBD11|RBD21,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
169518231,169518231,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS21|HGS31,HGS21|HGS31,HGS21|HGS31,,2,HGS21|HGS31,0,,,,HGS21|HGS31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171094750,171094750,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SR21|SR36,SR21|SR36,SR21|SR36,,2,SR21|SR36,0,,,,SR21|SR36,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171542404,171542404,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,GW12|GW2,GW12|GW2,GW12|GW2,,2,GW12|GW2,0,,,,GW12|GW2,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171542507,171542507,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BR13|BR4,BR13|BR4,BR13|BR4,,2,BR13|BR4,0,,,,BR13|BR4,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171773478,171773478,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,FSH34|LWN33,FSH34|LWN33,FSH34|LWN33,,2,FSH34|LWN33,0,,,,FSH34|LWN33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171773497,171773497,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB32|RWT35,EB32|RWT35,EB32|RWT35,,2,EB32|RWT35,0,,,,EB32|RWT35,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171773532,171773532,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,FTN23|FTN24,FTN23|FTN24,FTN23|FTN24,,2,FTN23|FTN24,0,,,,FTN23|FTN24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171776555,171776555,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NO31|SVW54,NO31|SVW54,NO31|SVW54,,2,NO31|SVW54,0,,,,NO31|SVW54,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171776582,171776582,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SVW53|SVW55,SVW53|SVW55,SVW53|SVW55,,2,SVW53|SVW55,0,,,,SVW53|SVW55,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171776609,171776609,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MGE24|SVW53,MGE24|SVW53,MGE24|SVW53,,2,MGE24|SVW53,0,,,,MGE24|SVW53,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
171776705,171776705,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,KBH34|KBH35,KBH34|KBH35,KBH34|KBH35,,2,KBH34|KBH35,0,,,,KBH34|KBH35,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
172662459,172662459,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CL23|RD2,CL23|RD2,CL23|RD2,,2,CL23|RD2,0,,,,CL23|RD2,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
172875903,172875903,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DVY12|DVY24,DVY12|DVY24,DVY12|DVY24,,2,DVY12|DVY24,0,,,,DVY12|DVY24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173317283,173317283,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS22|HGS33,HGS22|HGS33,HGS22|HGS33,,2,HGS22|HGS33,0,,,,HGS22|HGS33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173974288,173974288,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT16|BT22,BT16|BT22,BT16|BT22,,2,BT16|BT22,0,,,,BT16|BT22,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173974334,173974334,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB32|RWT34,EB32|RWT34,EB32|RWT34,,2,EB32|RWT34,0,,,,EB32|RWT34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173974347,173974347,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC1|DC3,DC1|DC3,DC1|DC3,,2,DC1|DC3,0,,,,DC1|DC3,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173974360,173974360,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH23|BH33,BH23|BH33,BH23|BH33,,2,BH23|BH33,0,,,,BH23|BH33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
173974367,173974367,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CRM13|CRM15,CRM13|CRM15,CRM13|CRM15,,2,CRM13|CRM15,0,,,,CRM13|CRM15,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
174872559,174872559,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,LWN23|LWN32,LWN23|LWN32,LWN23|LWN32,,2,LWN23|LWN32,0,,,,LWN23|LWN32,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
175082001,175082001,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,M21|M34,M21|M34,M21|M34,,2,M21|M34,0,,,,M21|M34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
175299632,175299632,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,LWN23|LWN32,LWN23|LWN32,LWN23|LWN32,,2,LWN23|LWN32,0,,,,LWN23|LWN32,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
175325819,175325819,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EW14|NB34,EW14|NB34,EW14|NB34,,2,EW14|NB34,0,,,,EW14|NB34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
176205458,176205458,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CM22|SR31,CM22|SR31,CM22|SR31,,2,CM22|SR31,0,,,,CM22|SR31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
