switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
94407795,94407795,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|NW23,DC10|NW23,DC10|NW23,,2,DC10|NW23,0,,,,DC10|NW23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94407817,94407817,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|NW23,DC10|NW23,DC10|NW23,,2,DC10|NW23,0,,,,DC10|NW23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94407850,94407850,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|DC3,DC10|DC3,DC10|DC3,,2,DC10|DC3,0,,,,DC10|DC3,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94413068,LV F/ISOL PO-7028159 OS 21-23 ARNOLD STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH33|DC5,,,,0,,0,,,,BH33|DC5,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94489547,94489547,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC3|DC4,DC3|DC4,DC3|DC4,,2,DC3|DC4,0,,,,DC3|DC4,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94489891,94489891,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|NW23,DC10|NW23,DC10|NW23,,2,DC10|NW23,0,,,,DC10|NW23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94490095,94490095,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|NW23,DC10|NW23,DC10|NW23,,2,DC10|NW23,0,,,,DC10|NW23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94538576,94538576,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB21|EB24,EB21|EB24,EB21|EB24,,2,EB21|EB24,0,,,,EB21|EB24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94538794,94538794,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB11|EB14,EB11|EB14,EB11|EB14,,2,EB11|EB14,0,,,,EB11|EB14,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94538976,94538976,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB11|EB24,EB11|EB24,EB11|EB24,,2,EB11|EB24,0,,,,EB11|EB24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94540034,94540034,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB13|EB32,EB13|EB32,EB13|EB32,,2,EB13|EB32,0,,,,EB13|EB32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545362,94545362,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT14|HT31,HT14|HT31,HT14|HT31,,2,HT14|HT31,0,,,,HT14|HT31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545502,94545502,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT11|HT33,HT11|HT33,HT11|HT33,,2,HT11|HT33,0,,,,HT11|HT33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545516,94545516,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT11|HT33,HT11|HT33,HT11|HT33,,2,HT11|HT33,0,,,,HT11|HT33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545642,94545642,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT11|HT33,HT11|HT33,HT11|HT33,,2,HT11|HT33,0,,,,HT11|HT33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545747,94545747,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT11|HT16,HT11|HT16,HT11|HT16,,2,HT11|HT16,0,,,,HT11|HT16,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94545846,94545846,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT11|HT16,HT11|HT16,HT11|HT16,,2,HT11|HT16,0,,,,HT11|HT16,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94551978,94551978,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SR21|SR36,SR21|SR36,SR21|SR36,,2,SR21|SR36,0,,,,SR21|SR36,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94552146,94552146,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SR24|SR31,SR24|SR31,SR24|SR31,,2,SR24|SR31,0,,,,SR24|SR31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94552183,94552183,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MR11|SR24,MR11|SR24,MR11|SR24,,2,MR11|SR24,0,,,,MR11|SR24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94552407,94552407,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NB31|NB33,NB31|NB33,NB31|NB33,,2,NB31|NB33,0,,,,NB31|NB33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94552428,94552428,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NB24|NB31,NB24|NB31,NB24|NB31,,2,NB24|NB31,0,,,,NB24|NB31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94562469,94562469,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC31|MC34,MC31|MC34,MC31|MC34,,2,MC31|MC34,0,,,,MC31|MC34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94562829,94562829,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC15|MC34,MC15|MC34,MC15|MC34,,2,MC15|MC34,0,,,,MC15|MC34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94562895,94562895,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC15|MC21,MC15|MC21,MC15|MC21,,2,MC15|MC21,0,,,,MC15|MC21,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94588570,94588570,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MR15|MR33,MR15|MR33,MR15|MR33,,2,MR15|MR33,0,,,,MR15|MR33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94589168,94589168,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CM25|SR31,CM25|SR31,CM25|SR31,,2,CM25|SR31,0,,,,CM25|SR31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94589265,94589265,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MR33|SR24,MR33|SR24,MR33|SR24,,2,MR33|SR24,0,,,,MR33|SR24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94828808,94828808,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NB21|NB32,NB21|NB32,NB21|NB32,,2,NB21|NB32,0,,,,NB21|NB32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94829130,94829130,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT25|CFD25,BT25|CFD25,BT25|CFD25,,2,BT25|CFD25,0,,,,BT25|CFD25,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94829189,94829189,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT16|OR34,BT16|OR34,BT16|OR34,,2,BT16|OR34,0,,,,BT16|OR34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94830021,94830021,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT12|BT23,BT12|BT23,BT12|BT23,,2,BT12|BT23,0,,,,BT12|BT23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94830043,94830043,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT12|MR31,BT12|MR31,BT12|MR31,,2,BT12|MR31,0,,,,BT12|MR31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94830095,94830095,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT14|OR34,BT14|OR34,BT14|OR34,,2,BT14|OR34,0,,,,BT14|OR34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94830434,94830434,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OR23|OR32,OR23|OR32,OR23|OR32,,2,OR23|OR32,0,,,,OR23|OR32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94831024,94831024,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OE10|OE2,OE10|OE2,OE10|OE2,,2,OE10|OE2,0,,,,OE10|OE2,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94831059,94831059,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OE10|OE5,OE10|OE5,OE10|OE5,,2,OE10|OE5,0,,,,OE10|OE5,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94831165,94831165,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CFD12|OR25,CFD12|OR25,CFD12|OR25,,2,CFD12|OR25,0,,,,CFD12|OR25,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94831228,94831228,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CFD12|EM10,CFD12|EM10,CFD12|EM10,,2,CFD12|EM10,0,,,,CFD12|EM10,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94834552,94834552,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EW12|EW2,EW12|EW2,EW12|EW2,,2,EW12|EW2,0,,,,EW12|EW2,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94840988,94840988,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OE10|OE5,OE10|OE5,OE10|OE5,,2,OE10|OE5,0,,,,OE10|OE5,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94841457,94841457,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP24|NP31,NP24|NP31,NP24|NP31,,2,NP24|NP31,0,,,,NP24|NP31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94849902,94849902,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NW14|NW33,NW14|NW33,NW14|NW33,,2,NW14|NW33,0,,,,NW14|NW33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94855334,94855334,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CDA23|NO7,CDA23|NO7,CDA23|NO7,,2,CDA23|NO7,0,,,,CDA23|NO7,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94855797,94855797,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OAK21|OAK33,OAK21|OAK33,OAK21|OAK33,,2,OAK21|OAK33,0,,,,OAK21|OAK33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94865837,94865837,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BC11|BC22,BC11|BC22,BC11|BC22,,2,BC11|BC22,0,,,,BC11|BC22,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94872660,94872660,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP16|NP25,NP16|NP25,NP16|NP25,,2,NP16|NP25,0,,,,NP16|NP25,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94872671,94872671,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP23|NP33,NP23|NP33,NP23|NP33,,2,NP23|NP33,0,,,,NP23|NP33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94873000,94873000,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP25|NP36,NP25|NP36,NP25|NP36,,2,NP25|NP36,0,,,,NP25|NP36,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94873130,94873130,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP16|NP25,NP16|NP25,NP16|NP25,,2,NP16|NP25,0,,,,NP16|NP25,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94885532,94885532,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT23,RWT12|RWT23,RWT12|RWT23,,2,RWT12|RWT23,0,,,,RWT12|RWT23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94885541,94885541,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,RWT12|RWT24,RWT12|RWT24,,2,RWT12|RWT24,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94886520,94886520,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,RWT12|RWT24,RWT12|RWT24,,2,RWT12|RWT24,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94887205,94887205,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB32|RWT34,EB32|RWT34,EB32|RWT34,,2,EB32|RWT34,0,,,,EB32|RWT34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94887481,94887481,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB32|RWT35,EB32|RWT35,EB32|RWT35,,2,EB32|RWT35,0,,,,EB32|RWT35,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94887922,94887922,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT34|RWT35,RWT34|RWT35,RWT34|RWT35,,2,RWT34|RWT35,0,,,,RWT34|RWT35,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
94936215,94936215,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,LD3|MGE31,LD3|MGE31,LD3|MGE31,,2,LD3|MGE31,0,,,,LD3|MGE31,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95213636,LV ISOL PO-7029292 OS 2 WALWA STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT34,,,,0,,0,,,,RWT12|RWT34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95213651,LV ISOL PO-7023936 OS 20 FULLER STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,,,,0,,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95214535,LV ISOL PO-7035459 OS 103 ROOKS ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,,,,0,,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
